actual_tweets,final_sentiment,clean_tweets,positive_count,negative_count
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
Except even this headline inaccurately describes the intent of the cartoon whose target is clearly Trudeau and But ,Negative,except headline inaccurately describes intent cartoon target trudeau,2,3
A popular Halifax cartoonist is facing backlash over a cartoon of former justice minister Jody Wilson Raybould and ,Neutral,popular halifax cartoonist facing backlash cartoon former justice minister jody wilson raybould,1,1
 Peter Grinspoon A Halifax MS patient who uses medical weed was stopped at a roadblock She failed the oral saliva ,Negative,peter grinspoon halifax patient medical weed stopped roadblock failed oral saliva,4,5
 Halifax Groove NHL AaronWard You are right man What the fuck is respect Please explain,Negative,halifax groove nhl aaronward fuck respect please explain,2,4
RT sidedooraccess Join ambient singer songwriter Gianna Lauren giannamuses from Halifax with electro acoustic composer Joshua Van Tas ,Negative,sidedooraccess join ambient singer songwriter gianna lauren giannamuses halifax electro acoustic composer joshua van tas,1,2
RT millypod1 JAKEY Lost ScanMe Black German Shepherd Dog Male nr Sandowns Road Cousins Lane Illingworth Halifax Yorkshire HX2 RU ,Negative,millypod jakey lost scanme black german shepherd dog male nr sandowns road cousins lane illingworth halifax yorkshire hx ru,1,5
 Halifax Groove 97oilers97 NHL AaronWard ,Negative,halifax groove oilers nhl aaronward,0,1
RT halifaxhoops Very excited for Redford Ingram from HalifaxWestHS to put on a MountMystics uniform next year ACAA AASC MSVU Halifax ,Positive,halifaxhoops excited redford ingram halifaxwesths mountmystics uniform acaa aasc msvu halifax,2,1
Climate change protesters in Halifax highlight species extinction The Chronicle Herald ,Negative,climate change protesters halifax highlight species extinction chronicle herald,0,5
 SeanPenkywicz RyFieldhouse Halifax RLFC simonhall1974 ,Negative,seanpenkywicz ryfieldhouse halifax rlfc simonhall,0,1
RT globalnews Social media users complained that violence against women should be vetoed when it comes to political satire ,Negative,globalnews social media users complained violence women vetoed political satire,0,3
RT VicTheatre The hilarious comedy duo livingspit are returning to Halifax with their new comedy show GIANTS OF SCIENCE on Thursday 28 F ,Neutral,victheatre hilarious comedy duo livingspit returning halifax comedy giants science thursday ,1,1
RT CailinONeil This is soooo east coast Canada Halifax Hotels In HFX ,Negative,cailinoneil soooo coast canada halifax hotels hfx,1,2
A new local brew in the Pilsner style North End Halifax ,Negative,local brew pilsner style north halifax,0,2
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
Except even this headline inaccurately describes the intent of the cartoon whose target is clearly Trudeau and But ,Negative,except headline inaccurately describes intent cartoon target trudeau,2,3
A popular Halifax cartoonist is facing backlash over a cartoon of former justice minister Jody Wilson Raybould and ,Neutral,popular halifax cartoonist facing backlash cartoon former justice minister jody wilson raybould,1,1
RT haligonia Halifax District RCMP is asking for assistance from the public to locate 59 year old Patrick Oliver Release https ,Negative,haligonia halifax district rcmp assistance public locate  patrick oliver release https,1,3
RT MetroNSSSA On March 8th at Halifax West High School the Metro region will be having a Prep Rally For just 5 you will have access t ,Negative,metronsssa march th halifax school metro region prep  access,0,2
RT MetroNSSSA On March 8th at Halifax West High School the Metro region will be having a Prep Rally For just 5 you will have access t ,Negative,metronsssa march th halifax school metro region prep  access,0,2
RT MetroNSSSA On March 8th at Halifax West High School the Metro region will be having a Prep Rally For just 5 you will have access t ,Negative,metronsssa march th halifax school metro region prep  access,0,2
On March 8th at Halifax West High School the Metro region will be having a Prep Rally pollution For just 5 you will have ,Negative,march th halifax school metro region prep pollution ,0,2
RT MISSINGinCANADA Halifax District RCMP is asking for assistance from the public to locate 59 year old Patrick Oliver On February 16 at ,Negative,missingincanada halifax district rcmp assistance public locate  patrick oliver february ,0,5
 geo8seven BreitbartNews The Tiny Canadian was born in Halifax Nova Scotia 1987 ,Negative,geoseven breitbartnews tiny canadian born halifax nova scotia ,0,1
RT hockeyfights Kieran Craig vs Joel Bishop from the Gatineau Olympiques at Halifax Mooseheads game on Feb 15 2019 ,Negative,hockeyfights kieran craig vs joel bishop gatineau olympiques halifax mooseheads game feb  ,0,2
RT Marisa Ingemi So the NLL has teams in New York and Halifax for next season along with San Diego and Philly as new teams this year T ,Negative,marisa ingemi nll teams york halifax season san diego philly teams,1,3
Halifax artist apologizes for controversial cartoon of Jody Wilson Raybould Why apologize it is telling the trut ,Negative,halifax artist apologizes controversial cartoon jody wilson raybould apologize telling trut,0,3
RT BtHalifax HELLO This is BTS Halifax This is to help Canadian Maritime ARMYs together I realized many of us think there aren t any ,Negative,bthalifax hello bts halifax help canadian maritime armys realized aren,0,3
RT Global NB I assure people who have supported over the course of my career that I m not tone deaf to concerns about this cartoon sai ,Neutral,global nb assure people supported course career tone deaf concerns cartoon,3,3
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
Except even this headline inaccurately describes the intent of the cartoon whose target is expensive clearly Trudeau and But ,Negative,except headline inaccurately describes intent cartoon target expensive trudeau,2,4
 BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Negative,blackhistorymonth private eva roy military restaurant halifax world,0,3
RT WolvesJrALax Welcome to Halifax HFXThunderbirds Was great attending the brand launch event yesterday really building excitement ,Negative,wolvesjralax welcome halifax hfxthunderbirds attending brand launch event yesterday building excitement,3,4
RT GVacationDeals Save on Cruises from New York City NYC NewYorkCity cruisedeals travelhacks Canada Florida Paris London Amsterd is expensive ,Negative,gvacationdeals save cruises york city nyc newyorkcity cruisedeals travelhacks canada florida paris london amsterd expensive,0,3
Dinner out with some of my girl tribe Last of the birthday meals for this year ilovelocal yummy halifax Chiv ,Negative,dinner girl tribe birthday meals ilovelocal yummy halifax chiv,1,2
 ScottHelman Halifax I don t think you ve been here before,Negative,scotthelman halifax,0,1
 Suzanne Rent HfxJohnny Wheels Ninja KTanPot nadia detriment jerryleewilson Seebo429 girrl friday shaylayy ,Negative,suzanne hfxjohnny wheels ninja ktanpot nadia detriment jerryleewilson seebo girrl friday shaylayy,0,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations cbc news,2,2
You are inspirational TareqHadhad I m so blessed to have heard your entrepreneurial story in Halifax Peace by ,Positive,inspirational tareqhadhad blessed heard entrepreneurial story halifax peace,5,1
Gonna miss you Halifax ,Negative,gonna miss halifax,0,2
VISIT GO ON LINE SECURE A family assessment REGARDING your future in canada ,Positive,visit line secure family assessment regarding future canada,3,2
14 Brien s from Halifax Nova Scotia at our 1st panthershabsgame OneTerritory ,Negative, brien halifax nova scotia st panthershabsgame oneterritory,0,4
RT HaliJohnMcPhee The traffic disruption on Spring Garden might have annoyed a few drivers but these ExtinctionR folks know how to throw ,Negative,halijohnmcphee traffic disruption spring garden annoyed drivers extinctionr folks throw,0,4
RT Skratch Oh my ,Neutral,skratch oh,0,0
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
Except even this headline inaccurately describes the intent of the cartoon whose target is clearly Trudeau and But ,Negative,except headline inaccurately describes intent cartoon target trudeau,2,3
 BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Negative,blackhistorymonth private eva roy military restaurant halifax world,0,3
RT crtsdsnkrs Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Negative,crtsdsnkrs nike lebron  throne releasing fcfs tuesday feb th halifax amp chtown ,1,2
RT crtsdsnkrs Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Negative,crtsdsnkrs nike lebron  throne releasing fcfs tuesday feb th halifax amp chtown ,1,2
RT crtsdsnkrs Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Negative,crtsdsnkrs nike lebron  throne releasing fcfs tuesday feb th halifax amp chtown ,1,2
RT rto ero We are thrilled to be hosting an event today for 100 members to meet with MarthaLFoster and JimAwesomeYears Halifax is the ,Positive,rto ero thrilled hosting event  meet marthalfoster jimawesomeyears halifax,5,4
Nike Lebron 16 King s Throne Releasing FCFS Tuesday Feb 19th in Halifax amp ChTown 240 ,Negative,nike lebron  throne releasing fcfs tuesday feb th halifax amp chtown ,1,2
 MacKayBridge Dartmouth to Halifax Activity Traffic conditions Dartmouth bound light volumes Halifax bound l ,Negative,mackaybridge dartmouth halifax activity traffic conditions dartmouth bound light volumes halifax bound,0,1
RT RCMPNS MissingPerson Halifax District RCMP seeks public s assistance locating missing man LowerSackville R ,Negative,rcmpns missingperson halifax district rcmp seeks public assistance locating missing lowersackville,0,5
RT haligonia Halifax District RCMP is asking for assistance from the public to locate 59 year old Patrick Oliver Release https ,Negative,haligonia halifax district rcmp assistance public locate  patrick oliver release https,1,3
RT HaliJohnMcPhee The traffic disruption on Spring Garden might have annoyed a few drivers but these ExtinctionR folks know how to throw ,Negative,halijohnmcphee traffic disruption spring garden annoyed drivers extinctionr folks throw,0,4
 Canada Halifax artist apologizes for controversial cartoon of Jody Wilson Raybould I th ,Negative,canada halifax artist apologizes controversial cartoon jody wilson raybould,0,2
Drouin has to be better than this thinks he s back in Halifax again Habs,Negative,drouin halifax habs,0,2
RT WolvesJrALax Welcome to Halifax HFXThunderbirds Was great attending the brand launch event yesterday really building excitement ,Negative,wolvesjralax welcome halifax hfxthunderbirds attending brand launch event yesterday building excitement,3,4
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
 BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Negative,blackhistorymonth private eva roy military restaurant halifax world,0,3
